,ECG,TIME
0,0.0,1609287638.853557
1,2425.70068359375,1609287638.913086
2,2518.370849609375,1609287638.913095
3,2491.392333984375,1609287638.913101
4,2380.70654296875,1609287638.913107
5,2364.8369140625,1609287638.913113
6,2489.04541015625,1609287638.913119
7,2520.069580078125,1609287638.913125
8,2391.32373046875,1609287638.913131
9,2365.2392578125,1609287638.913137
10,2506.390380859375,1609287638.913143
11,2565.7119140625,1609287638.913149
12,2467.744140625,1609287638.913155
13,2425.70068359375,1609287638.913161
14,2519.801513671875,1609287638.913167
15,2596.5126953125,1609287638.913174
16,2520.9638671875,1609287638.973308
17,2453.640380859375,1609287638.973322
18,2552.3232421875,1609287638.973328
19,2651.721435546875,1609287638.973334
20,2565.39892578125,1609287638.973341
21,2456.65771484375,1609287638.973347
22,2507.955078125,1609287638.973353
23,2631.20263671875,1609287638.973359
24,2596.57958984375,1609287638.973386
25,2494.409912109375,1609287638.973392
26,2518.5498046875,1609287638.973398
27,2639.450439453125,1609287638.973404
28,2623.78173828125,1609287638.97341
29,2495.795654296875,1609287638.973417
30,2490.83349609375,1609287638.973423
31,2612.78466796875,1609287639.033482
32,2638.735107421875,1609287639.033497
33,2530.01611328125,1609287639.0335
34,2518.102783203125,1609287639.033504
35,2614.505859375,1609287639.033507
36,2669.6474609375,1609287639.033511
37,2582.140380859375,1609287639.033514
38,2524.204833984375,1609287639.033517
39,2642.78076171875,1609287639.033521
40,2717.36865234375,1609287639.033524
41,2648.56982421875,1609287639.033527
42,2548.702392578125,1609287639.033531
43,2612.248291015625,1609287639.033535
44,2725.12451171875,1609287639.033538
45,2683.14794921875,1609287639.033541
46,2581.358154296875,1609287639.093903
47,2633.549560546875,1609287639.093944
48,2754.2265625,1609287639.09395
49,2723.113037109375,1609287639.093956
50,2607.330810546875,1609287639.093962
51,2618.3056640625,1609287639.093968
52,2744.54833984375,1609287639.093974
53,2751.0302734375,1609287639.09398
54,2633.77294921875,1609287639.093986
55,2618.260986328125,1609287639.093992
56,2737.73095703125,1609287639.093998
57,2782.657958984375,1609287639.094004
58,2662.15966796875,1609287639.09401
59,2609.543701171875,1609287639.094016
60,2730.93603515625,1609287639.094022
61,2787.374267578125,1609287639.153302
62,2694.34619140625,1609287639.153312
63,2628.922607421875,1609287639.153316
64,2715.75927734375,1609287639.15332
65,2802.08154296875,1609287639.153324
66,2724.31982421875,1609287639.153328
67,2619.37841796875,1609287639.153332
68,2669.669921875,1609287639.153336
